lon,lat,n,geo,type
37.8605,7.1874,180,75,0
37.9384,7.1867,230,75,0
37.9156,7.1924,134,75,0
37.9012,7.1778,135,75,0
39.4453,14.3547,85,75,0
37.9784,7.14,321,75,0
38.065,7.6152,352,75,0
37.9049,7.135,312,75,0
37.9169,7.1843,162,75,0
37.9354,7.1618,255,75,0
37.9249,7.1184,142,75,0
37.9335,7.1395,661,75,0
37.8913,7.1137,226,75,0
37.9091,7.1497,175,75,0
38.0953,7.5575,211,75,0
38.066,7.6056,350,75,0
38.0617,7.5954,350,75,0
38.0699,7.5879,280,75,0
38.099,7.5832,308,75,0
38.1097,7.5536,164,75,0
38.0807,7.4767,127,75,0
38.0772,7.4626,176,75,0
38.0344,7.4229,125,75,0
38.0206,7.4463,140,75,0
37.9988,7.468,146,75,0
38.1575,5.9382,1588,75,0
38.2388,5.5811,242,75,0
38.1561,5.9413,1349,75,0
38.1043,6.1472,682,75,0
38.0169,5.5606,4152,75,0
38.3395,5.6619,609,75,0
37.9904026,7.4720897,102,75,0
37.998,7.4791,965,75,0
37.9821,7.4566,966,75,0
38.0888,7.5353,140,75,0
38.0332,7.5466,244,75,0
38.0228,7.6929,168,75,0
37.9879,7.6827,168,75,0
37.9632,7.6651,320,75,0
37.9668,7.6498,577,75,0
37.9555,7.6409,66,75,0
37.9833,7.6549,385,75,0
37.9603,7.5743,125,75,0
37.8486709,7.2049773,180,75,0
37.7489,7.284,339,75,0
37.8431,7.2727,136,75,0
37.8422,7.28,262,75,0
37.8444,7.2977,663,75,0
37.8214,7.3251,151,75,0
37.8419,7.318,140,75,0
37.8193,7.3102,281,75,0
37.8496,7.4228,130,75,0
37.8503,7.4018,149,75,0
37.8369,7.3802,116,75,0
37.8758,7.3377,749,75,0
37.8819,7.3288,574,75,0
37.8977,7.4065,124,75,0
37.8704,7.3654,130,75,0
37.8689,7.3931,163,75,0
37.8338,7.3415,220,75,0
37.8503,7.3632,148,75,0
37.8406,7.4621,107,75,0
37.7625,7.3555,204,75,0
37.7832,7.3604,178,75,0
37.7839,7.3578,473,75,0
37.6045,7.2019,322,75,0
37.6157,7.2457,312,75,0
37.6397,7.258,306,75,0
37.6992,7.2505,298,75,0
37.669,7.1947,264,75,0
37.4992,7.3218,176,75,0
37.4884,7.3099,148,75,0
37.496,7.2845,171,75,0
37.9275,7.2153,434,75,0
37.9169,7.2161,180,75,0
37.9118,7.2564,181,75,0
37.9203,7.2837,201,75,0
37.9147,7.2702,321,75,0
37.8806,7.2367,171,75,0
37.8633,7.2373,182,75,0
37.8998,7.2402,167,75,0
37.8924,7.2631,167,75,0
37.877,7.2192,182,75,0
37.9797,7.2308,220,75,0
37.9606,7.2118,353,75,0
37.9071,7.374,136,75,0
37.9031,7.3353,308,75,0
37.9013,7.323,157,75,0
37.9356,7.3611,280,75,0
37.9642,7.3769,242,75,0
37.9402,7.3074,134,75,0
37.8024,7.2727,280,75,0
37.8137,7.2777,178,75,0
38.2801,7.02,121,75,0
38.3318,7.0191,178,75,0
38.3312,7.044,157,75,0
38.2646,6.9092,745,75,0
38.2516,6.9357,433,75,0
38.2336,7.0221,662,75,0
38.3167,6.9137,100,75,0
38.2349,6.9989,1276,75,0
38.3937,7.0483,267,75,0
38.3764,7.0556,197,75,0
38.3951,7.0055,174,75,0
38.2549,6.9438,2731,75,0
38.2565,6.9453,524,75,0
38.3883,7.043,258,75,0
38.2642,6.9352,1005,75,0
38.3163,7.0031,141,75,0
38.2565,6.9257,409,75,0
38.2935,7.0816,202,75,0
38.2569,6.9436,2247,75,0
38.2543,6.9366,2335,75,0
38.3928,7.0451,251,75,0
38.2821,6.9687,691,75,0
38.3476,6.9163,167,75,0
38.2836,6.9205,850,75,0
38.2516,6.9804,887,75,0
38.3373,6.9637,87,75,0
38.2493,6.9385,702,75,0
38.2574,6.9652,2075,75,0
38.3187,7.0885,149,75,0
38.2667,6.9691,1179,75,0
38.2397,7.0142,648,75,0
38.3591,7.0363,172,75,0
38.2588,6.9423,654,75,0
38.2748,7.0702,167,75,0
41.5578,9.4003,219,75,0
41.8665,9.4541,96,75,0
41.5513,9.3766,152,75,0
41.6428,9.4314,109,75,0
41.6939,9.4274,88,75,0
42.1238,9.4426,136,75,0
42.1166,9.4354,119,75,0
42.1645,9.4869,75,75,0
42.3225,9.5273,1550,75,0
