geo,lat,lon,type,n
170,10.33281,12.6594,0,118
170,10.37321,12.57332,0,163
170,10.32393,12.67432,0,121
170,10.33799,12.65982,1,1276
170,10.37416,12.57401,1,641
170,10.37389,12.57421,1,1067
170,10.33521,12.65858,1,1937
170,10.3207,12.67878,1,2090
170,10.04559,12.668,0,162
170,10.07188,12.67514,0,116
170,10.04928,12.66888,1,1359
170,10.0456,12.669,1,1679
170,10.07143,12.67503,1,1599
170,10.07203,12.67484,1,2092
170,10.05703,12.25984,1,1640
170,10.0647,12.29184,1,1980
170,10.05449,12.19084,1,998
170,10.05528,12.26035,1,1617
170,10.05526,12.28853,1,512
170,9.792,11.9622,0,378
170,9.78393,11.98305,0,192
170,9.79211,11.9625,1,1506
170,9.78397,11.983,1,348
170,9.79112,11.96237,1,282
170,9.98903,11.95734,0,72
170,9.98907,11.95737,1,570
170,9.6469,11.8339,0,30
170,9.78477,11.91055,0,708
170,9.79304,11.92395,0,318
170,9.78479,11.91057,1,876
170,9.75559,11.91542,1,642
170,9.79306,11.92393,1,660
170,9.65221,11.83702,0,600
170,9.648116,11.8393,0,504
170,9.70578,11.88148,0,1098
170,9.64165,11.83608,1,432
170,9.64479,11.83735,1,3378
170,9.68676,11.89964,1,756
170,9.6677,11.83033,1,1608
170,9.90418,11.93248,0,36
170,9.91032,11.93274,0,42
170,9.9052,11.94063,0,48
170,9.90258,11.93104,0,150
170,9.91543,11.93949,0,48
170,9.90391,11.92647,0,48
170,9.91635,11.9566,0,60
170,9.91658,11.9468,0,42
170,9.91637,11.9565,0,36
170,10.24967,13.02682,0,150
170,10.20363,12.98729,0,48
170,10.26665,13.09585,0,43
170,10.22799,12.99708,0,45
170,10.28557,13.0748,0,171
170,10.19794,12.99007,1,3000
170,10.22797,12.99709,1,2095
170,10.24969,13.02684,1,2022
170,10.26669,13.09588,1,2052
170,10.28555,13.0746,1,2494
170,10.13829,12.98352,0,27
170,10.15253,13.00569,0,37
170,10.17825,12.88863,0,96
170,10.1525,13.00568,1,538
170,10.14822,12.90379,1,2053
170,10.174,12.88465,1,3700
170,10.1383,12.98355,1,9052
170,10.38384,12.82003,0,70
170,10.36759,12.86165,0,300
170,10.32272,12.85578,0,715
170,10.38381,12.82001,1,5054
170,10.4098,12.84763,1,3561
170,10.367590999999999,12.861765,1,5406
170,10.43253,13.00339,0,115
170,10.4133,12.97506,0,67
170,10.46841,12.98578,1,288
170,10.4136,12.97505,1,6884
170,10.41971,12.98467,1,7413
170,10.39416,13.17807,0,77
170,10.39417,13.17809,0,90
170,10.3894,13.21065,0,60
170,10.4005,13.17201,0,98
170,10.3896,13.21067,1,5605
